id,source_entity,target_entity,relation_type,strength
83,生まれたときから老いているもの,鏡,共起,1
84,耳,耳にすると美味しいもの,共起,1
85,テレビ,宇宙人が見ているテレビ番組,共起,1
86,後ろ,男の人も女の人も持っているけど、自分で,共起,1
87,内,母,共起,1
88,たこ,一度も見たことがないのに、明日に,共起,1
89,手が2本なのに触れないもの,時計,共起,1
90,前,明日の前日,共起,1
91,前,明後日の前日,共起,1
92,赤ちゃん,風,共起,1
93,たこ,風,共起,1
94,泳げないのに海で生きていける魚,海,共起,1
95,ミルクを出すのに牛で,母,共起,1
96,ライター,火を使うのに料理をしない道具,共起,1
97,マッチ,火を使うのに料理をしない道具,共起,1
98,マッチ,ライター,共起,1
99,海,海の中にあるのに濡れないもの,共起,1
100,そば,火のそばにいるのに燃えないもの,共起,1
101,お茶,熱いのに冷たいと言われるもの,共起,1
102,りんご,前,共起,1
103,りんご,赤いのに青いと言われる果物,共起,1
104,前,赤いのに青いと言われる果物,共起,1
105,いぬ,犬を飼うときにもらえる書類,共起,1
106,ペンギン,ペンギンの好きな文房具,共起,1
107,ペン,ペンギンの好きな文房具,共起,1
108,ペンギン,ペンギンが仕事中に使うもの,共起,1
109,ペン,ペンギンが仕事中に使うもの,共起,1
110,カンガルー,赤ちゃん,共起,1
111,カンガルー,カンガルーの好きな食べ物,共起,1
112,ゾウ,赤ちゃん,共起,1
113,ライオン,ライオンが泳げない理由,共起,1
114,シマウマのシマシマ,頭,共起,1
115,パンダ,パンダの模様が白と黒なの,共起,1
116,パン,パンダの模様が白と黒なの,共起,1
117,パンダの模様が白と黒なの,雪,共起,1
118,パンダ,雪,共起,1
119,パン,雪,共起,1
120,いか,コアラ,共起,1
121,いか,コアラがほとんど動かないの,共起,1
122,コアラ,コアラがほとんど動かないの,共起,1
123,カラスが賢いと言われる理由,車,共起,1
124,いるか,フクロウが夜に活動するの,共起,1
125,いるか,アリが行列を作るの,共起,1
126,クモの巣が雨の日に見えやすいの,雨,共起,1
127,イヌが寝る前にくるくる回るの,前,共起,1
128,いか,カメが長生きするの,共起,1
129,上,机の上で働く動物,共起,1
130,上,机の上にのっている動物,共起,1
131,外,触ると熱いのに、中が冷たいもの,共起,1
132,時計,朝に合わせるのに、夜に使うもの,共起,1
133,外,風,共起,1
134,ペン,書くものの中で一番細いもの,共起,1
135,「十」を四つ集めてできる漢字,漢字,共起,1
136,数字の1と数字の1でできる漢字,漢字,共起,1
137,数字の1と数字の2でできる漢字,漢字,共起,1
138,「★」を4つ集めるとできる記号,星,共起,1
139,「○」と「△」でできる形,上,共起,1
140,3本の線でできる漢字,漢字,共起,1
141,4本の線でできる漢字,漢字,共起,1
142,パン,パンを食べるときに必ずする動作,共起,1
143,ご飯を食べる前に必ず言うこと,前,共起,1
144,お風呂に入る前に必ずすること,風,共起,1
145,お風呂に入る前に必ずすること,前,共起,1
146,お風呂に入った後に必ずすること,風,共起,1
147,下,靴を履く前に必ずすること,共起,1
148,前,靴を履く前に必ずすること,共起,1
149,下,靴下を履く前に必ずすること,共起,1
150,前,靴下を履く前に必ずすること,共起,1
151,前,服を着る前に必ずあるもの,共起,1
152,「大」に点を打つとできる漢字,漢字,共起,1
153,漢字,目,共起,1
154,「日」と「月」で明るい。で,月,共起,1
155,「田」と「力」でできる漢字,漢字,共起,1
156,「女」と「子」でできる漢字,漢字,共起,1
157,「白」と「水」でできる漢字,漢字,共起,1
158,「雨」と「田」でできる漢字,漢字,共起,1
159,「雨」と「田」でできる漢字,雨,共起,1
160,漢字,雲,共起,1
161,雨,雲,共起,1
162,「雨」と「云」でできる漢字,雲,共起,1
163,「雨」と「云」でできる漢字,漢字,共起,1
164,「雨」と「云」でできる漢字,雨,共起,1
165,まんが,ペン,共起,1
166,つくえ,上,共起,1
167,ラジオ,時計,共起,1
168,くつ,雨,共起,1
169,くつした,舌,共起,1
170,くつした,下,共起,1
171,うし,ぼうし,共起,1
172,パン,着るパン,共起,1
173,すし,カレー,共起,1
174,うし,消防士が使う乗り物の名前,共起,1
175,うし,前,共起,1
176,うし,車,共起,1
177,前,消防士が使う乗り物の名前,共起,1
178,消防士が使う乗り物の名前,車,共起,1
179,前,車,共起,1
180,うし,社長が入る部屋,共起,1
181,先生,先生が好きな食べ物,共起,1
182,生徒,生徒が好きなお菓子,共起,1
183,子ども,電車,共起,1
184,子ども,子どもが好きな電車,共起,1
185,子ども,車,共起,1
186,子どもが好きな電車,電車,共起,1
187,子どもが好きな電車,車,共起,1
188,赤ちゃん,赤ちゃんが好きなジュース,共起,1
189,ジュース,赤ちゃんが好きなジュース,共起,1
190,ジュース,赤ちゃん,共起,1
191,先生,先生が授業中に飲む飲み物,共起,1
192,お茶,先生,共起,1
193,お茶,先生が授業中に飲む飲み物,共起,1
194,テレビ,先生,共起,1
195,出口の反対,漢字,共起,1
196,先生,学校の入口と出口の間にいる人,共起,1
197,下,先生,共起,1
198,下,学校の入口と出口の間にいる人,共起,1
199,冷蔵庫,冷蔵庫の中で一番偉いの,共起,1
200,包丁,包丁で切れないもの,共起,1
201,上,包丁,共起,1
202,鍋,鍋の中で一番熱い場所,共起,1
203,スプーンですくえないスープ,スープ,共起,1
204,サラダ,フォークで刺せないサラダ,共起,1
205,ナイフで切れないパン,パン,共起,1
206,前,夜寝る前の一番最後にすること,共起,1
207,外,雨,共起,1
208,下,外,共起,1
209,下,雨,共起,1
210,後ろ,後ろを向いても見えるもの,共起,1
211,上,上を向いても見えないもの,共起,1
212,下,下を向いても見えないもの,共起,1
213,左,左手でしか触れないもの,共起,1
214,右,左手でしか触れないもの,共起,1
215,いか,すいか,共起,1
216,ぶどう,ブドウ,共起,1
217,すもも,もも,共起,1
218,いか,かぼちゃ,共起,1
219,やまいも,山,共起,1
220,わさび,山,共起,1
221,いか,からし,共起,1
222,うま,しゅうまい,共起,1
223,とり,やきとり,共起,1
224,いか,かつ,共起,1
225,いか,からあげ,共起,1
226,おすし,すし,共起,1
227,いか,かれい,共起,1
228,いか,下,共起,1
229,いか,かに,共起,1
230,かめ,わかめ,共起,1
231,スパゲッティ,月,共起,1
232,シャーベット,車,共起,1
233,でんしゃ,電車,共起,1
234,でんしゃ,車,共起,1
235,ひこうき,飛行機,共起,1
236,じてんしゃ,自転車,共起,1
237,じてんしゃ,車,共起,1
238,シャンプー,風,共起,1
239,いか,かみ,共起,1
240,いか,髪,共起,1
241,ペン,ボールペン,共起,1
242,いか,子ども,共起,1
243,いか,かばん,共起,1
244,いか,鍵,共起,1
245,かぎ,鍵,共起,1
246,いか,かぎ,共起,1
247,姉,鏡,共起,1
248,めがね,鏡,共起,1
249,めがね,姉,共起,1
250,かき,はがき,共起,1
251,ふうとう,風,共起,1
252,はがき,月,共起,1
253,れいぞうこ,冷蔵庫,共起,1
254,すい,すいはんき,共起,1
255,なべ,鍋,共起,1
256,ほうちょう,包丁,共起,1
257,おちゃわん,お茶,共起,1
258,スプーン,風,共起,1
259,マフラー,風,共起,1
260,花,鼻,同音異義語,1
261,さる,草,共起,1
262,歯,葉,共起,1
263,下,谷,共起,1
264,下,壁,共起,1
265,下,廊下,共起,1
266,上,階段,共起,1
267,上,腕,共起,1
268,上,踵,共起,1
269,ゴルフ,風,共起,1
270,フルート,風,共起,1
271,船,船長,共起,1
272,社長,車,共起,1
273,かめ,幸せ,共起,1
274,弟,音,共起,1
275,入口と出口の間にある漢字一文字,漢字,共起,1
276,入口と出口の間にある漢字一文字,口,共起,1
277,うし,学校の門を入って最初に見るもの,共起,1
278,ペン,鉛筆で書けるけれどペンで,共起,1
279,ペン,下,共起,1
280,下,鉛筆で書けるけれどペンで,共起,1
281,定規,定規で測れるけれど手で,共起,1
282,コンパス,コンパスで描けるけれど手で,共起,1
283,のり,のりで貼れるけれど水で,共起,1
284,はさみ,はさみで切れるけれど手で,共起,1
285,はさみ,カッター,共起,1
286,カッター,カッターで切れるけれど,共起,1
287,はさみ,カッターで切れるけれど,共起,1
288,ホッチキス,ホッチキスで留められるけれど手で,共起,1
289,クリップ,クリップで留められるけれど輪ゴムで,共起,1
290,ガムテープ,セロハンテープで貼れるけれどガムテープで,共起,1
291,セロハンテープ,セロハンテープで貼れるけれどガムテープで,共起,1
292,ガムテープ,セロハンテープ,共起,1
293,先輩,後輩,共起,1
294,「先輩」と「後輩」の間にいる人,後輩,共起,1
295,同級生,後輩,共起,1
296,「先輩」と「後輩」の間にいる人,先輩,共起,1
297,先輩,同級生,共起,1
298,「先輩」と「後輩」の間にいる人,同級生,共起,1
299,「父」と「母」の間にいる人,子ども,共起,1
300,子ども,父,共起,1
301,子ども,母,共起,1
302,「父」と「母」の間にいる人,父,共起,1
303,「父」と「母」の間にいる人,母,共起,1
304,母,父,共起,1
305,姉,弟,共起,1
306,妹,姉,共起,1
307,「兄」と「弟」の間にいる人,姉,共起,1
308,兄,姉,共起,1
309,妹,弟,共起,1
310,「兄」と「弟」の間にいる人,弟,共起,1
311,「兄」と「弟」の間にいる人,妹,共起,1
312,兄,妹,共起,1
313,「兄」と「弟」の間にいる人,兄,共起,1
314,先生,校長,共起,1
315,「先生」と「生徒」の間にいる人,先生,共起,1
316,先生,生徒,共起,1
317,「先生」と「生徒」の間にいる人,校長,共起,1
318,校長,生徒,共起,1
319,「先生」と「生徒」の間にいる人,生徒,共起,1
320,「右」と「左」の間にあるもの,左,共起,1
321,左,真ん中,共起,1
322,「右」と「左」の間にあるもの,右,共起,1
323,「右」と「左」の間にあるもの,真ん中,共起,1
324,右,真ん中,共起,1
325,「前」と「後ろ」の間にあるもの,後ろ,共起,1
326,「前」と「後ろ」の間にあるもの,前,共起,1
327,前,後ろ,共起,1
328,上,中間,共起,1
329,下,中間,共起,1
330,「上」と「下」の間にあるもの,中間,共起,1
331,「上」と「下」の間にあるもの,上,共起,1
332,「上」と「下」の間にあるもの,下,共起,1
333,中間,遠いと近いの間にある距離感,共起,1
334,右手でできるのに左手で,左,共起,1
335,右,右手でできるのに左手で,共起,1
336,右手で持って左手で渡すもの,左,共起,1
337,右,右手で持って左手で渡すもの,共起,1
338,ぶた,目を開けて見えないもの,共起,1
339,カレー,自分で,共起,1
340,自分で,電話,共起,1
341,自分で,車,共起,1
342,ペン,先生,共起,1
343,通知表とかけて鏡と解く。その心,鏡,共起,1
344,上,漢字,共起,1
345,「木」に一本足すとできる漢字,漢字,共起,1
346,前,寝る前に必ずすること,共起,1
347,トイレに入る前に必ずすること,前,共起,1
348,お風呂に入ったら必ずすること,風,共起,1
349,ご飯を食べる前に必ずすること,前,共起,1
350,外,外から帰ったら必ずすること,共起,1
