id,question,answer,category,source,created_at
30,やきそばはやきそばでも食べられないやきそばは？,やきそば→焼きそばじゃなくてやきそば（焼き蕎麦のイメージ）,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
31,うばはウバでも飲めないウバは？,うば（乳母）,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
32,かみはカミでも使えないカミは？,かみ（髪）,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
33,はなはハナでもにおわないハナは？,はな（鼻）,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
34,はなはハナでも見えないハナは？,はな（花）→花は見てにおうもの,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
35,めはメでも見えないメは？,め（芽）,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
36,みみはミミでも聞こえないミミは？,みみ（実実）→みみず（蚯蚓）,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
37,くちはクチでもしゃべれないクチは？,くち（朽ち）,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
38,くちはクチでも食べられないクチは？,くち（口）→くち（糊）,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
39,ははハでも歯ではないハは？,は（葉）,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
40,あしはアシでも歩けないアシは？,あし（芦）,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
41,てはテでも書けないテは？,て（手）→手は書かない、字を書く,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
42,せなかはセナカでも見えない背中は？,せなか→背中は自分では見えない,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
43,あたまはアタマでも考えないアタマは？,あたま（頭）→頭文字,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
44,かおはカオでも見えないカオは？,かお（顔）→顔文字,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
45,くつはクツでも履けないクツは？,くつ（靴）→くつ（沓）,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
46,はきものは履き物でも履けないものは？,はきもの→掃き物（ほうき）,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
47,かばんはカバンでも入れられないカバンは？,かばん（鞄）→かばん（カバのん）,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
48,とけいはトケイでも時計じゃないトケイは？,とけい（徒刑）,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
49,かさはカサでも雨に濡れないカサは？,かさ（傘）→かさ（嵩）,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
50,かさはカサでもささないカサは？,かさ（笠）,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
51,はしはハシでも渡れない橋は？,はし（橋）→はし（箸）,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
52,はしはハシでもご飯を食べないハシは？,はし（端）,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
53,ふくはフクでも着ないフクは？,ふく（服）→ふく（福）,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
54,ふくはフクでも食べ物じゃないフクは？,ふく（福）,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
55,くすりはクスリでも飲めないクスリは？,くすり（薬）→くすり（と笑う）,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
56,えんぴつはエンピツでも書けないエンピツは？,えんぴつ→鉛筆じゃない円筆？,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
57,かみはカミでも切れないカミは？,かみ（紙）→はさみで切るもの,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
58,いすはイスでも座れないイスは？,いす（椅子）→いす（イスラム教）,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
59,つくえはツクエでも勉強しない机は？,つくえ→机は勉強するものじゃない,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
60,ペンはペンでも書けないペンは？,ペン（ペンギン）,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
61,ペンはペンでも泳げないペンは？,ペン（ペン／筆記具）,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
62,ペンはペンでも飛べないペンは？,ペン（ペン）→ペンは飛べない,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
63,ペンはペンでも食べられないペンは？,ペン（箆）→ウナギをつかむペン,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
64,はさみはハサミでも切れないハサミは？,はさみ→ハサミムシ,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
65,はさみはハサミでも紙を切らないハサミは？,はさみ（鋏）→はさみ（挟み）,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
66,はさみはハサミでも髪を切らないハサミは？,はさみ→ちょっきん,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
67,でんわはデンワでも話せないデンワは？,でんわ（電話）→でんわ（田んぼの話）,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
68,テレビはテレビでも写らないテレビは？,テレビ→テレビン油,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
69,ラジオはラジオでも聞こえないラジオは？,ラジオ→ラジオ体操,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
70,ラジオはラジオでも曲がかからないラジオは？,ラジオ→ラジウム,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
71,自転車は自転車でも乗れない自転車は？,自転車→自動車じゃないから乗れない→いや乗れる,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
72,くるまは車でも動かない車は？,くるま→車（輪）,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
73,くるまは車でも走らない車は？,くるま→ふりこ（振り子の車）,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
74,くるまは車でも海を走る車は？,車→潜水艦じゃない…水陸両用車,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
75,ふねは船でも沈まない船は？,ふね→ふね（船／舟）→いや沈むこともある,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
76,ふねは船でも漕げない船は？,ふね→うきぶね（浮き船／浮き舟）,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
77,スプーンはスプーンでもすくえないスプーンは？,スプーン→スプーン曲げ,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
78,スプーンはスプーンでも食べるのに使わないスプーンは？,スプーン→靴べら,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
79,フォークはフォークでも刺さらないフォークは？,フォーク→フォークダンス,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
80,フォークはフォークでも食べ物じゃないフォークは？,フォーク→フォークリフト,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
81,ナイフはナイフでも切れないナイフは？,ナイフ→ナイフ（ナイーブ）,ダジャレ・同音異義語,generated,2026-06-22 10:33:05
82,電車とかけて弁当と解く。その心は？,どちらも駅で売っている,なぞかけ,generated,2026-06-22 10:33:05
83,電話とかけて友情と解く。その心は？,どちらも長く続くと切れる,なぞかけ,generated,2026-06-22 10:33:05
84,階段とかけて人生と解く。その心は？,どちらも上り下りがある,なぞかけ,generated,2026-06-22 10:33:05
85,消しゴムとかけて恋人と解く。その心は？,どちらも間違いを消してくれる,なぞかけ,generated,2026-06-22 10:33:05
86,鏡とかけて夫婦と解く。その心は？,どちらも向かい合っている,なぞかけ,generated,2026-06-22 10:33:05
87,目覚まし時計とかけて約束と解く。その心は？,どちらも破ると困る,なぞかけ,generated,2026-06-22 10:33:05
88,傘とかけて友情と解く。その心は？,どちらもないと困るけど、あると邪魔なこともある,なぞかけ,generated,2026-06-22 10:33:05
89,カレンダーとかけて貯金と解く。その心は？,どちらもめくると減る,なぞかけ,generated,2026-06-22 10:33:05
90,コーヒーとかけて人生と解く。その心は？,どちらも苦いこともあるが、後味はいい,なぞかけ,generated,2026-06-22 10:33:05
91,シャワーとかけて反省と解く。その心は？,どちらも頭から浴びる,なぞかけ,generated,2026-06-22 10:33:05
92,サイフとかけて記憶と解く。その心は？,どちらもいっぱいになると閉じたくなる,なぞかけ,generated,2026-06-22 10:33:05
93,パズルとかけて恋愛と解く。その心は？,どちらもピースが合わないと完成しない,なぞかけ,generated,2026-06-22 10:33:05
94,扇風機とかけて噂話と解く。その心は？,どちらも回すと広がる,なぞかけ,generated,2026-06-22 10:33:05
95,信号機とかけて学校の成績と解く。その心は？,どちらも赤（あか）点があると止まる,なぞかけ,generated,2026-06-22 10:33:05
96,踏切とかけて人気者と解く。その心は？,どちらも遮断機（邪断機）が下りる,なぞかけ,generated,2026-06-22 10:33:05
97,冷蔵庫とかけて秘密と解く。その心は？,どちらも中を見せると冷める,なぞかけ,generated,2026-06-22 10:33:05
98,エレベーターとかけて出世と解く。その心は？,どちらも上に行くほど人が減る,なぞかけ,generated,2026-06-22 10:33:05
99,バスの停留所とかけて人生の岐路と解く。その心は？,どちらも降りる場所を間違えると遠回り,なぞかけ,generated,2026-06-22 10:33:05
100,花ととかけて教師と解く。その心は？,どちらも咲かせるのが仕事,なぞかけ,generated,2026-06-22 10:33:05
101,ハサミとかけて離婚と解く。その心は？,どちらも二つに分かれる,なぞかけ,generated,2026-06-22 10:33:05
102,ボタンとかけて約束と解く。その心は？,どちらも外れると困る,なぞかけ,generated,2026-06-22 10:33:05
103,蜂の巣とかけてアパートと解く。その心は？,どちらも個室がいっぱい,なぞかけ,generated,2026-06-22 10:33:05
104,水道の蛇口とかけて涙と解く。その心は？,どちらもひねると出る,なぞかけ,generated,2026-06-22 10:33:05
105,鉛筆とかけて恋と解く。その心は？,どちらも削れば削るほど短くなる,なぞかけ,generated,2026-06-22 10:33:05
106,郵便ポストとかけて井戸端会議と解く。その心は？,どちらも一日一回は覗かれる,なぞかけ,generated,2026-06-22 10:33:05
107,文房具屋さんとかけて八百屋さんと解く。その心は？,どちらもはさみ（鋏／菠薐草）を売っている,なぞかけ,generated,2026-06-22 10:33:05
108,天気予報とかけて占いと解く。その心は？,どちらも当たるも八卦,なぞかけ,generated,2026-06-22 10:33:05
109,漢字で書くと「海の月」、ふわふわ浮かぶ海の生き物は？,クラゲ,漢字連想,generated,2026-06-22 10:33:05
110,漢字で書くと「河の馬」、水の中に住む大きな動物は？,カバ,漢字連想,generated,2026-06-22 10:33:05
111,漢字で書くと「空の鳥」、一番高いところを飛ぶ鳥は？,くうのとり→「？」正解は「クジラ」ではない,漢字連想,generated,2026-06-22 10:33:05
112,木へんに春と書く、春に花を咲かせる木は？,椿（つばき）,漢字連想,generated,2026-06-22 10:33:05
113,木へんに秋と書く、秋に実をつける木は？,楸（ひさぎ）→いや「かき（柿）」,漢字連想,generated,2026-06-22 10:33:05
114,魚へんに馬と書く、海のギャングと呼ばれる魚は？,鮫（サメ）,漢字連想,generated,2026-06-22 10:33:05
115,魚へんに雪と書く、冬に美味しい白身の魚は？,鱈（タラ）,漢字連想,generated,2026-06-22 10:33:05
116,魚へんに春夏秋冬、秋の魚は？,鰍（カジカ）？→いや鮭（シャケ／サケ）,漢字連想,generated,2026-06-22 10:33:05
117,魚へんに弱いと書く、柔らかくて美味しい魚は？,鰯（イワシ）,漢字連想,generated,2026-06-22 10:33:05
118,鳥へんに九十九と書く、いつもグチョグチョな鳥は？,鳩（はと）→九十九＝つくも→いつもくちばしをグチョグチョ,漢字連想,generated,2026-06-22 10:33:05
119,虫へんに冬と書く、秋に鳴く虫は？,蟋蟀（コオロギ）,漢字連想,generated,2026-06-22 10:33:05
120,草かんむりに冬と書く、冬に食べると美味しい野菜は？,とう（冬）な（菜）→冬瓜（とうがん）,漢字連想,generated,2026-06-22 10:33:05
121,くちへんに鳥と書く、人の話を聞かない鳥は？,鸚鵡（オウム）→口に鳥→くちばし,漢字連想,generated,2026-06-22 10:33:05
122,くちへんに木と書く、口にすると苦い果物は？,杏（あんず／きょう）→口＋木,漢字連想,generated,2026-06-22 10:33:05
123,へんとつくりを合わせてできる漢字、右と左を合わせると？,右＋左＝？→「右」と「左」を合わせると「差」,漢字連想,generated,2026-06-22 10:33:05
124,「木」に「子」を足すとできる果物は？,李（すもも）,漢字連想,generated,2026-06-22 10:33:05
125,「口」に「鳥」を足すとできる鳥は？,鳴く（なく）鳥→口＋鳥＝鳴,漢字連想,generated,2026-06-22 10:33:05
126,「日」と「月」を合わせると明るいという字になる。では「月」と「月」を合わせると？,朋（とも）,漢字連想,generated,2026-06-22 10:33:05
127,「一」と「大」を合わせるとできる漢字は？,天,漢字連想,generated,2026-06-22 10:33:05
128,「人」と「人」が支え合う漢字は？,大→二人が支え合って大,漢字連想,generated,2026-06-22 10:33:05
129,「田」に「力」を足すとできるものは？,男→田んぼで力仕事→男,漢字連想,generated,2026-06-22 10:33:05
130,「女」に「子」を足すとできるのは？,好（好き）→女の子が好き,漢字連想,generated,2026-06-22 10:33:05
131,「山」に「山」を重ねるとできるものは？,出（山＋山＝出）？→実は「出」は山＋山ではない,漢字連想,generated,2026-06-22 10:33:05
132,「門」の中に「馬」が入るとできる駅名は？,馬車道（馬車道駅）→門＋馬＝闖（そう／ちん）,漢字連想,generated,2026-06-22 10:33:05
133,赤いという字なのに青いという意味の漢字は？,赤（あか）→実は「赤」は本来「あかい」だけでなく「あか」色全般,漢字連想,generated,2026-06-22 10:33:05
134,魚の名前なのに、魚へんがつかない魚は？,タコ、イカ、クラゲ、エビ、カニ,漢字連想,generated,2026-06-22 10:33:05
135,鳥の名前なのに、鳥へんがつかない鳥は？,ペンギン、ダチョウ、コウモリ（哺乳類）,漢字連想,generated,2026-06-22 10:33:05
136,植物なのに草かんむりや木へんがつかない植物は？,バラ、チューリップ、コスモス,漢字連想,generated,2026-06-22 10:33:05
137,漢字で書くとき、四角に囲まれると別の意味になるものは？,「口」に「木」で「困」（木が口に囲まれると困る）,漢字連想,generated,2026-06-22 10:33:05
138,心という漢字が三つ集まると何になる？,心＋心＋心＝惢（ずい／つらなる）,漢字連想,generated,2026-06-22 10:33:05
139,水という漢字が三つ集まると？,水＋水＋水＝淼（びょう）,漢字連想,generated,2026-06-22 10:33:05
140,火という漢字が三つ集まると？,火＋火＋火＝焱（えん）,漢字連想,generated,2026-06-22 10:33:05
141,サッカーが好きな人にあげるプレゼントは？,シュート（靴＋投げる？→「シュート」）,言葉遊び,generated,2026-06-22 10:33:05
142,頭に雪が積もっている食べ物は？,かき氷（頭に雪＝シロップ）,言葉遊び,generated,2026-06-22 10:33:05
143,ゾウが乗っている車は？,ゾウカー（ゾウ＋カー）,言葉遊び,generated,2026-06-22 10:33:05
144,ご飯を食べるときに使う武器は？,おはし（箸）,言葉遊び,generated,2026-06-22 10:33:05
145,着るとみんなが驚く服は？,びっくり（驚く）→びっくりする服＝新品,言葉遊び,generated,2026-06-22 10:33:05
146,雨の日にかぎりなく近づけるものは？,かさ（傘）→かぎりなく近い＝限りなく→限りなく降る,言葉遊び,generated,2026-06-22 10:33:05
147,猫の手も借りたいときに借りるものは？,猫の手（もちろん借りられない）,言葉遊び,generated,2026-06-22 10:33:05
148,ご飯を食べるときに失礼にならない音は？,おいしい（という音はない）→「いただきます」,言葉遊び,generated,2026-06-22 10:33:05
149,切手を貼らないとどうなる？,手紙が届かない,言葉遊び,generated,2026-06-22 10:33:05
150,カラオケで歌うと貯金できるのは？,カラオケ貯金（歌うたびにへたっぴだと罰金）,言葉遊び,generated,2026-06-22 10:33:05
151,逆立ちすると速くなる乗り物は？,新幹線（逆さまにすると線幹新→線が幹で新しい）,言葉遊び,generated,2026-06-22 10:33:05
152,耳が二つあるのに聞こえないものは？,ダンボール（段ボールの両耳）,言葉遊び,generated,2026-06-22 10:33:05
153,壁に向かって言う言葉は？,壁に向かって話す→「ついたち（一日）」,言葉遊び,generated,2026-06-22 10:33:05
154,食べると口がへの字になる食べ物は？,梅干し（すっぱくて口がへの字）,言葉遊び,generated,2026-06-22 10:33:05
155,水に弱い虫は？,水虫（みずむし）,言葉遊び,generated,2026-06-22 10:33:05
156,足が4本あるのに歩けないものは？,机（足が4本の家具）,言葉遊び,generated,2026-06-22 10:33:05
157,1年中眠い野菜は？,冬眠（とうみん）→ズッキーニ（ではなく標準的）→ネギ（寝起きがネギ？）,言葉遊び,generated,2026-06-22 10:33:05
158,子どもが3人集まるとできるものは？,三人寄れば文殊の知恵,言葉遊び,generated,2026-06-22 10:33:05
159,いつも人のうしろにいるものは？,影,言葉遊び,generated,2026-06-22 10:33:05
160,子どもの頃は黒くて、大人になると赤くなる果物は？,梅（青梅→赤い梅干し）,言葉遊び,generated,2026-06-22 10:33:05
161,からだが半分しかない鳥は？,半分しかない鳥→鳥の半分→はんぶん＋とり→ハト？いや「ハーフバード」,言葉遊び,generated,2026-06-22 10:33:05
162,口の周りにぐるっと巻いた食べ物は？,口の周り→くちまわり→「口回り」→ぐるぐる巻き→ロールパン,言葉遊び,generated,2026-06-22 10:33:05
163,1分ごとに鳴く鳥は？,カッコウ（カッコウ＝刻刻→時を刻む）,言葉遊び,generated,2026-06-22 10:33:05
164,歩くとカチカチ音がする生き物は？,カチカチ→カチューシャ→いや時計（カチカチと歩く時計）,言葉遊び,generated,2026-06-22 10:33:05
165,世界中の人の耳の後ろにあるものは？,耳の後ろ→知っている→みんな知っているもの＝あご,言葉遊び,generated,2026-06-22 10:33:05
166,さかさまにすると逆に読める食べ物は？,さかさま読む→「スイカ」→「カイス」→いや「カイス」は食べ物じゃない,言葉遊び,generated,2026-06-22 10:33:05
167,中にクマが住んでいるお菓子は？,くまのプーさんのおなか→はちみつ→蜂蜜入りお菓子,言葉遊び,generated,2026-06-22 10:33:05
168,夏にしか会えない雪だるまは？,かき氷（雪のように白い）,言葉遊び,generated,2026-06-22 10:33:05
169,会えば会うほど短くなる関係は？,ろうそく（会う＝火を合わせると短くなる）,言葉遊び,generated,2026-06-22 10:33:05
170,パンダの好きな食べ物は笹だけど、パンダの嫌いな食べ物は？,笹以外のもの（パンダは芸が細かい）,言葉遊び,generated,2026-06-22 10:33:05
171,ネコの好きな温度は？,ニャン度（にゃんど＝ニャン＋温度）,言葉遊び,generated,2026-06-22 10:33:05
172,犬がよく見る夢は？,ワンワン（ワンちゃんの夢）→「ワン」の夢,言葉遊び,generated,2026-06-22 10:33:05
173,真っ暗な部屋で探し物をするときのコツは？,電気をつける,言葉遊び,generated,2026-06-22 10:33:05
174,いつも静かなのに、話し始めるとうるさいものは？,テレビ（つけるとうるさい）,言葉遊び,generated,2026-06-22 10:33:05
175,風が吹けば桶屋が儲かる。では風が吹くとどうなる？,桶屋が儲かる（なぞなぞではなくことわざの例）,言葉遊び,generated,2026-06-22 10:33:05
176,お風呂に入る前にするべきことは？,服を脱ぐ,言葉遊び,generated,2026-06-22 10:33:05
177,食べ物の話をすると出てくる怪獣は？,食いしん坊（怪獣ではない）→おなかすいた怪獣→ハングリー,言葉遊び,generated,2026-06-22 10:33:05
178,机に向かって1時間も動かない生き物は？,勉強する人（人間）,言葉遊び,generated,2026-06-22 10:33:05
179,持っているだけで幸せな気分になるものは？,お年玉（お年玉袋）,言葉遊び,generated,2026-06-22 10:33:05
180,白くて甘くて、夏に溶けてしまうものは？,アイスクリーム,言葉遊び,generated,2026-06-22 10:33:05
181,上から見ると丸くて、横から見ると三角のものは？,円錐（コーン）,言葉遊び,generated,2026-06-22 10:33:05
182,赤い中に黒いつぶつぶが入っている果物は？,スイカ,言葉遊び,generated,2026-06-22 10:33:05
183,黄色い皮の中に白い部屋があって、そこに兄弟が住んでいる果物は？,ミカン,言葉遊び,generated,2026-06-22 10:33:05
184,年に一度だけ、好きなことを言っていい日は？,誕生日,言葉遊び,generated,2026-06-22 10:33:05
185,生まれたときから老いているものは？,鏡（映す人は老けていくが鏡は変わらない）,言葉遊び,generated,2026-06-22 10:33:05
186,誰でも吹けるのに、音階がない楽器は？,ハーモニカ→いや笛→いや口笛,言葉遊び,generated,2026-06-22 10:33:05
187,止まると死んでしまう生き物は？,鳥（止まると死ぬ→はばたき続ける→渡り鳥？いや、止まると死ぬのはツバメ？）,言葉遊び,generated,2026-06-22 10:33:05
188,食べると目が覚める食べ物は？,目玉焼き（目玉が覚める）,言葉遊び,generated,2026-06-22 10:33:05
189,耳にすると美味しいものは？,耳寄りな話（耳寄り＝耳＋より）,言葉遊び,generated,2026-06-22 10:33:05
190,雪がとけると何になる？,水（雪→水→春）,言葉遊び,generated,2026-06-22 10:33:05
191,富士山が静岡県と山梨県の境にあるように、なぞなぞとクイズの境は？,答えに納得するか、知識か,言葉遊び,generated,2026-06-22 10:33:05
192,宇宙人が見ているテレビ番組は？,UFO（UFO＝ユーホー）,言葉遊び,generated,2026-06-22 10:33:05
193,卵が先か、ニワトリが先か？なぞなぞの答えは？,卵（なぞなぞは卵が先、なぜならなぞなぞの「なぞ」は「卵」ということばを間違えたものだから）,言葉遊び,generated,2026-06-22 10:33:05
194,男の人も女の人も持っているけど、自分では見えないものは？,後ろ頭,言葉遊び,generated,2026-06-22 10:33:05
195,思っているだけで叶うことは？,思い（思うこと）,言葉遊び,generated,2026-06-22 10:33:05
196,お母さんのお腹の中にいる間に覚える言葉は？,お母さんのお腹→「おかあさんのおなか」→お腹にいる＝胎内→胎教,言葉遊び,generated,2026-06-22 10:33:05
197,一度も見たことがないのに、明日には会えるものは？,明日（あした）,言葉遊び,generated,2026-06-22 10:33:05
198,新しいほど暗い家具は？,タンス（新品の引き出しの中は暗い）,言葉遊び,generated,2026-06-22 10:33:05
199,古いほど明るくなるものは？,知識（古くても明るい）,言葉遊び,generated,2026-06-22 10:33:05
200,目は一つで、寝ているときは役に立たないものは？,針（針の目）,言葉遊び,generated,2026-06-22 10:33:05
201,手が2本なのに触れないものは？,時計の針,言葉遊び,generated,2026-06-22 10:33:05
202,話すときはいつも口を大きく開けるものは？,あくび,言葉遊び,generated,2026-06-22 10:33:05
203,中に入れば入るほど、外が見たくなるものは？,牢屋／部屋,言葉遊び,generated,2026-06-22 10:33:05
204,書けば書くほど汚くなるものは？,黒板（チョークで書くほど白く汚れる）,言葉遊び,generated,2026-06-22 10:33:05
205,冷やすと甘くなる果物は？,スイカ（冷やすと甘く感じる）,言葉遊び,generated,2026-06-22 10:33:05
206,一年中赤い信号を出しているものは？,サンタクロースの服（赤い）,言葉遊び,generated,2026-06-22 10:33:05
207,2＋2＋2は？,6→階段（2段＋2段＋2段＝6段）,ひっかけ,generated,2026-06-22 10:33:05
208,3＋3÷3は？,4（3＋(3÷3)＝4→でもなぞなぞ的には「三たす三わる三」の語呂で「さんたすさんわるさん」）,ひっかけ,generated,2026-06-22 10:33:05
209,10＋10は？,20（二十）→「二十」を合わせると「廿」（にじゅう）,ひっかけ,generated,2026-06-22 10:33:05
210,20＋20は？,40（四十）→「四十」を合わせると「卌」,ひっかけ,generated,2026-06-22 10:33:05
211,5＋5＋5は？,15（十五）→5が3つで555？いや5円＋5円＋5円＝15円,ひっかけ,generated,2026-06-22 10:33:05
212,100＋100は？,200→百＋百＝二百→「百」二つ,ひっかけ,generated,2026-06-22 10:33:05
213,朝の4時に出発して、4時間後に着く。着くのは何時？,8時（午前8時）,ひっかけ,generated,2026-06-22 10:33:05
214,夜の9時に寝て、8時間後に起きる。起きるのは何時？,朝の5時,ひっかけ,generated,2026-06-22 10:33:05
215,12時間後にまた会おうと言われた。今が午前9時なら、会うのは何時？,午後9時,ひっかけ,generated,2026-06-22 10:33:05
216,5分前行動と言うけど、5分前のことを何と言う？,4分55秒前（→「5分前」は5分前）,ひっかけ,generated,2026-06-22 10:33:05
217,明日の前日は？,今日（明日の前の日は今日）,ひっかけ,generated,2026-06-22 10:33:05
218,昨日の次の日は？,今日（昨日の次は今日）,ひっかけ,generated,2026-06-22 10:33:05
219,明後日の前日は？,明日（明後日の前の日は明日）,ひっかけ,generated,2026-06-22 10:33:05
220,一昨日の次の次の日は？,今日（一昨日→昨日→今日）,ひっかけ,generated,2026-06-22 10:33:05
221,生まれてから一度も歯を磨いたことがない人がいる。でも虫歯がない。なぜ？,赤ちゃん（歯がまだ生えていない）,ひっかけ,generated,2026-06-22 10:33:05
222,毎日お風呂に入っているのに、一度も体を洗ったことがない人は？,赤ちゃん（沐浴させられている）,ひっかけ,generated,2026-06-22 10:33:05
223,年中水を飲んでいるのに、トイレに行かない人は？,植物（水を吸っても排泄しない）,ひっかけ,generated,2026-06-22 10:33:05
